query_1;3
query_2;1
query_3;1
query_4;10
query_5;10
query_6;1
query_7;1
query_8;10
query_9;10
query_10;1
query_11;4
query_12;4
query_13;2
query_14;1
query_15;3
query_16;2
query_17;10
query_18;7
query_19;10
query_20;1
query_21;1
query_22;10
query_23;3
query_24;10
query_25;1
query_26;1
query_27;1
query_28;10
query_29;1
query_30;7
query_31;1
query_32;3
query_33;4
query_34;2
query_35;1
query_36;1
query_37;10
query_38;2
query_39;9
query_40;5
query_41;1
query_42;7
query_43;1
query_44;1
query_45;1
query_46;1
query_47;1
query_48;4
query_49;2
query_50;5
query_51;5
query_52;10
query_53;1
query_54;1
query_55;1
query_56;10
query_57;2
query_58;1
query_59;1
query_60;3
query_61;1
query_62;10
query_63;1
